id_seccion,nombre,distrito,distrito_federal,circunscripcion,lat,lon,poblacion,padron_electoral,lista_nominal,tipo_zona,area,geometry_geojson
3752,Sección 3752 · Tlalpan,16,14,1,19.30054915856424,-99.16725083650921,1524,1540,1524,urbana,8.628977594637506e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.16853181269359, 19.302139063677], [-99.1643357868635, 19.3015451904717], [-99.1644494622872, 19.3008729538], [-99.16912442428482, 19.2989071792067], [-99.16853181269359, 19.302139063677]]]}"
3753,Sección 3753 · Tlalpan,16,14,1,19.298253243989702,-99.16544868804583,1547,1409,1399,urbana,5.077081715431418e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1633291291781, 19.2981905835312], [-99.1661881780036, 19.2987488467681], [-99.165691547695, 19.3000254851046], [-99.1661214654346, 19.300045761578], [-99.1672016894354, 19.29770060023], [-99.1633291291781, 19.2981905835312]]]}"
3754,Sección 3754 · Tlalpan,16,14,1,19.297568959089595,-99.16068848372797,1750,1219,1212,urbana,1.9562556209132605e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1643161742787, 19.2955745098896], [-99.163203898174, 19.2951269280502], [-99.1566198378147, 19.2967819964141], [-99.15935272398728, 19.3000527165514], [-99.1614461227332, 19.2997269518148], [-99.1643161742787, 19.2955745098896]]]}"
3755,Sección 3755 · Tlalpan,16,14,1,19.294815577246148,-99.1582723004872,853,800,783,urbana,1.4532403528345203e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1563557179803, 19.2968472755713], [-99.1551812096693, 19.2952772354375], [-99.1589239536217, 19.2924700200624], [-99.1604731878438, 19.2931468679679], [-99.1613813032789, 19.2949584068358], [-99.1563557179803, 19.2968472755713]]]}"
3756,Sección 3756 · Tlalpan,16,14,1,19.29398615404154,-99.16319526871075,798,739,734,urbana,1.7487429329662063e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1604731878438, 19.2931468679679], [-99.1625373794872, 19.2938393874525], [-99.1636331821533, 19.2909920863211], [-99.1662001364695, 19.2918913525418], [-99.1645782905731, 19.2944336479727], [-99.1655209495592, 19.2960101496755], [-99.163203898174, 19.2951269280502], [-99.1604433436043, 19.2965275575138], [-99.1580137264461, 19.296466447651], [-99.1613813032789, 19.2949584068358], [-99.1604731878438, 19.2931468679679]]]}"
3757,Sección 3757 · Tlalpan,16,14,1,19.29692370780833,-99.16643364957856,1247,1088,1078,urbana,9.498399114938897e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1633291291781, 19.2981905835312], [-99.1643161742787, 19.2955745098896], [-99.1689651141903, 19.2961297719702], [-99.16791705891691, 19.298812248067], [-99.1651388363766, 19.2969853188159], [-99.1633291291781, 19.2981905835312]]]}"
3758,Sección 3758 · Tlalpan,16,14,1,19.29826261706343,-99.17210594794177,1635,1742,1716,urbana,5.9194057697096456e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1748193984027, 19.2974294403448], [-99.1682883091686, 19.2978217913264], [-99.16791705891691, 19.298812248067], [-99.1763360571123, 19.298835635693], [-99.1748193984027, 19.2974294403448]]]}"
3759,Sección 3759 · Tlalpan,16,14,1,19.29457521273023,-99.18044506278859,828,774,769,urbana,8.17242207073348e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1847195493148, 19.2955559656607], [-99.1834477425097, 19.2949777702252], [-99.1782332842646, 19.2928728317591], [-99.1780523157863, 19.2952304428512], [-99.1847195493148, 19.2955559656607]]]}"
3760,Sección 3760 · Tlalpan,16,14,1,19.297578857694585,-99.18267664570986,430,425,422,urbana,2.1213207318419835e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1847195493148, 19.2955559656607], [-99.18054399071191, 19.2953668335728], [-99.1795025413958, 19.2987298730422], [-99.1855941944863, 19.299610623893], [-99.1847195493148, 19.2955559656607]]]}"
3761,Sección 3761 · Tlalpan,16,14,1,19.297216777878162,-99.17764556846726,808,719,705,urbana,1.798968740923727e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1763360571123, 19.298835635693], [-99.1748193984027, 19.2974294403448], [-99.1756302924874, 19.2950978318078], [-99.18054399071191, 19.2953668335728], [-99.17827466207909, 19.301056491151], [-99.1763360571123, 19.298835635693]]]}"
