cve,nombre,distrito,lat,lon,area,geometry_geojson
12-010,ATOCPA SUR,19,19.256275596459194,-99.19322640936608,7.195219192746184e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.18428922785432, 19.2551903728034], [-99.1862502769877, 19.252066694476397], [-99.1893366324992, 19.2517944914722], [-99.197796203721, 19.2545070382457], [-99.200271296336, 19.2589008990832], [-99.19726772219019, 19.261924628486305], [-99.19261573005042, 19.2598561433601], [-99.19231384190628, 19.255073170453], [-99.18428922785432, 19.2551903728034]]]}"
12-011,"AYOCATITLA,  ASUNCIÓN",19,19.184542764121996,-99.14799747567977,6.678980409302329e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1497388956675, 19.1904106251801], [-99.14603564743952, 19.1904002969799], [-99.1441233670096, 19.1854383634461], [-99.1443879353319, 19.181208162151098], [-99.14768702728789, 19.179333954267396], [-99.1526075764829, 19.181356374568892], [-99.1497388956675, 19.1904106251801]]]}"
12-069,BARRIO LA  LONJA,14,19.29132524258963,-99.18030494041643,1.0248611975546247e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1809150116502, 19.290007117832097], [-99.182503395582, 19.290824616790893], [-99.18210806709119, 19.29277016636709], [-99.1782241037875, 19.292505837869598], [-99.1796108710551, 19.289292014070295], [-99.1809150116502, 19.290007117832097]]]}"
12-215,BELISARIO DOMINGUEZ,16,19.28950411079737,-99.15558581694134,2.3613637733051547e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1537914324959, 19.2930872613246], [-99.1514872094921, 19.2901002638163], [-99.1569328220163, 19.286629850994103], [-99.1596257944435, 19.2882934444176], [-99.1537914324959, 19.2930872613246]]]}"
12-013,BELVEDERE,14,19.268822713756574,-99.22703386550957,1.9110710454172213e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2255263214224, 19.2681968202481], [-99.2252054771779, 19.266417362987998], [-99.22802760490171, 19.2659504145176], [-99.22887878383682, 19.2715525572635], [-99.2244805355494, 19.270412425779703], [-99.2255263214224, 19.2681968202481]]]}"
12-014,BOSQUE DE TEPEXIMILPA,14,19.276826104035113,-99.19029794975467,1.2747690142383864e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.19054090976832, 19.2745290818523], [-99.19052567746121, 19.274746114987696], [-99.19332013896998, 19.2794794242299], [-99.1912530178371, 19.279524080579897], [-99.190642826222, 19.277192282492592], [-99.18704420826771, 19.276944192908296], [-99.1879840849082, 19.274367572009403], [-99.19054090976832, 19.2745290818523]]]}"
12-016,BOSQUES DEL PEDREGAL,14,19.271967515874742,-99.23911720244138,2.568239134527085e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2364960636568, 19.275276739441292], [-99.2354272745953, 19.2698100119276], [-99.2437319062591, 19.2710563871399], [-99.2425870397721, 19.272970973576793], [-99.2364422126897, 19.2738029923082], [-99.2364960636568, 19.275276739441292]]]}"
12-017,CALVARIO CAMISETAS,16,19.288686070410638,-99.17718842261493,1.046771729863239e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1791654444308, 19.289950147228197], [-99.1774716653797, 19.2892189220885], [-99.17386213310911, 19.2898240702188], [-99.17727735388941, 19.2867828666182], [-99.18027019611861, 19.2883178269658], [-99.1791654444308, 19.289950147228197]]]}"
12-018,CANTERA PUENTE DE PIEDRA,16,19.299231168976377,-99.16422805971757,2.2754060263267845e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1672016895096, 19.297700600334], [-99.1660177682302, 19.301786377297898], [-99.1593527241063, 19.3000527165893], [-99.1617043743871, 19.299911354370998], [-99.1640983551503, 19.2960444996348], [-99.1672016895096, 19.297700600334]]]}"
12-019,CHICHICASPATL,14,19.275801161801827,-99.24352205264549,1.32491913962884e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.24465135813021, 19.279783171457503], [-99.24178647664161, 19.276096223609798], [-99.2417803053238, 19.2731052039922], [-99.2441375273731, 19.272301537381797], [-99.24465135813021, 19.279783171457503]]]}"
